LogID ,TraineeID,ProgramID,Duration ,Repetitions ,ProgramName
839,481320078,425,189,14,Strength Training
840,681093165,251,197,2,Strength Training
841,984926590,494,177,14,Strength Training
842,570576401,345,34,13,Yoga
843,941004873,474,65,6,CrossFit
844,462666657,206,38,11,Personal Training
845,198929097,403,130,4,Pilates
846,126053541,390,200,15,Functional Training
847,427795028,225,167,15,Functional Training
848,144392159,116,171,4,Strength Training
849,920065781,366,81,12,Strength Training
850,501973986,303,174,13,Personal Training
851,196020197,207,42,2,Pilates
852,813016312,266,158,15,Functional Training
853,142808428,405,74,14,Functional Training
854,558691089,211,154,12,Pilates
855,173925665,291,171,3,Pilates
856,155879068,363,154,10,Strength Training
857,732992813,381,113,3,Personal Training
858,884240000,243,191,5,CrossFit
859,166141064,442,180,11,Functional Training
860,326417899,146,31,6,Strength Training
861,991172008,274,83,11,Personal Training
862,564010488,258,156,12,CrossFit
863,482871641,392,149,13,Strength Training
864,633957094,320,52,11,CrossFit
865,507046384,185,102,15,CrossFit
866,577363865,460,147,13,Personal Training
867,667216663,384,112,14,Pilates
868,238795723,473,168,11,Personal Training
869,849681253,260,45,5,Strength Training
870,988468904,477,46,9,Strength Training
871,292512202,438,143,15,CrossFit
872,179171655,377,63,7,Functional Training
873,500407934,400,40,13,Endurance Training
874,501031963,221,133,9,Pilates
875,166534148,367,105,12,Yoga
876,768123160,418,196,4,Functional Training
877,476102335,302,111,14,Strength Training
878,791030986,312,62,8,Endurance Training
879,633665836,135,168,3,Strength Training
880,259317771,271,96,6,CrossFit
881,163701990,353,155,6,Endurance Training
882,364907309,472,104,14,Endurance Training
883,420280542,342,92,2,Strength Training
884,658456234,440,185,13,Endurance Training
885,258027174,118,135,14,Pilates
886,268238576,439,88,10,CrossFit
887,610331628,410,163,10,Personal Training
888,685940056,451,51,3,Personal Training
889,637606979,279,169,14,Endurance Training
890,200643435,492,125,14,Functional Training
891,600476000,453,89,2,Personal Training
892,723444174,370,147,2,Pilates
893,319433486,240,71,11,Personal Training
894,473465304,371,169,9,Personal Training
895,766905705,102,115,3,Yoga
896,706049162,389,135,13,Functional Training
897,953007127,304,117,11,Strength Training
898,348974089,212,68,14,Pilates
899,939015944,307,50,4,Endurance Training
900,490360874,297,102,10,Endurance Training
901,249847687,254,190,15,Pilates
902,535178156,464,72,12,Endurance Training
903,961706078,152,178,9,Strength Training
904,993027155,445,77,7,Strength Training
905,580161149,350,155,3,Functional Training
906,678685236,387,33,14,CrossFit
907,148841783,468,189,10,Pilates
908,787915817,242,51,13,Pilates
909,365627070,414,93,2,Functional Training
910,491640103,137,110,13,Pilates
911,412337947,239,59,15,Strength Training
912,562696093,230,152,11,Pilates
913,270312426,404,89,15,Yoga
914,630382785,174,91,8,Functional Training
915,160321258,341,113,13,Endurance Training
916,683825464,309,193,15,Strength Training
917,930796257,124,190,13,Pilates
918,613045072,236,69,6,Personal Training
919,644144852,335,172,2,Functional Training
920,206042507,365,91,14,CrossFit
921,393283020,205,94,11,Pilates
922,681735568,298,134,14,Yoga
923,970943357,237,144,9,Endurance Training
924,524316638,256,161,2,Strength Training
925,447185391,361,82,13,CrossFit
926,751827117,122,167,9,Personal Training
927,352732109,422,33,3,Pilates
928,304707043,431,72,10,CrossFit
929,812998202,427,105,9,Functional Training
930,524180253,456,82,7,Endurance Training
931,379819670,325,63,11,Personal Training
932,898494315,192,172,14,Strength Training
933,876551276,434,41,8,Pilates
934,303422630,141,144,15,Personal Training
935,782091603,409,134,8,Pilates
936,339589106,360,85,7,Pilates
937,616443943,449,86,14,Personal Training
938,886351820,485,117,7,Strength Training
939,662898471,226,57,3,Personal Training
940,488283920,462,117,15,Endurance Training
941,975808289,130,83,14,Strength Training
942,304494790,159,99,5,Strength Training
943,104022382,104,71,11,Strength Training
944,604693539,224,80,4,Endurance Training
945,852133972,191,128,2,Functional Training
946,365075494,235,161,12,Personal Training
947,785786542,299,178,6,Personal Training
